County,State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bell,KY,20.6232928,304.6392458,14.69134238,17.53035025,18.86565482,32.51413051,12.42597403,10.70454887,8.586118645,8.488734938,6.48949382,7.711696166,9.144105256,9.730589978,13.83695398,12.50483937,10.43906789,8.25595509,12.25580315,4.997849332,6.563526445,9.2953222,8.260047786,10.47257611,9.343967393,8.57598015,10.45816076,8.895970769,9.291295644,7.269786244,7.215637521,6.114283051
Boyd,KY,5.769181951,3.467147126,3.228290849,3.354433929,4.284088304,3.86895939,2.937460173,2.598966496,2.300543712,2.574029895,3.013540022,2.099414585,2.391617371,2.748172248,3.893207565,4.031234372,2.882852541,2.590457873,2.938239786,2.143957922,2.042885986,2.523844803,2.215740125,2.833814172,2.723961471,2.40930597,2.052947541,1.916129569,1.957511014,1.743786208,1.709049477,1.904598315
Breathitt,KY,23.66486519,63.73294054,21.50744881,20.51060302,23.24649808,106.9007132,18.03697332,16.45860584,23.0651326,16.56386784,15.76810766,11.58515334,12.2182869,18.53315613,12.74440298,13.42544869,10.42037609,9.94688197,11.16088469,5.539373208,7.190286957,13.40273441,8.507122748,13.79298377,11.97447253,9.204706442,8.641076165,6.957769558,7.86380541,7.983484067,7.91031961,7.625620971
Carter,KY,10.7353479,4.374752511,2.89668623,2.89464615,5.806291668,40.73803193,3.066558418,2.325526291,3.160229718,3.276943847,2.298384152,1.910763108,2.387628259,3.615536211,3.44277221,6.616500331,3.809095952,3.362826469,2.907526977,2.641561315,2.746007384,2.964162086,2.962463521,2.999041115,2.992020244,2.780122081,3.22500971,2.894218853,2.670135131,2.258174876,2.300405801,2.410626888
Clay,KY,16.26997535,15.93535542,6.842409575,5.294431001,8.240521228,28.74876699,3.674850527,4.147388933,12.99132581,2.606317795,3.072346407,2.479319315,2.17449489,1.47386295,2.387016613,3.184684083,1.797525206,1.556254869,2.194242175,1.131802059,1.740311485,2.397920113,1.856552155,2.046990652,2.11357034,2.179436929,2.700436948,3.003649467,3.079559273,2.659487251,1.914794901,1.366374404
Clinton,KY,15.58892121,5.641540596,2.211864091,2.811926413,2.065276385,2.191553793,2.436184937,6.036205817,2.37201375,2.203775112,2.008015935,1.991514915,2.423537744,2.309668568,2.88968981,3.206785805,3.151988616,1.395622421,11.0869549,3.156415337,2.869928066,3.047094031,3.377078568,4.489405979,3.801892921,3.104202466,3.327420814,4.67062747,3.408786461,2.973918566,2.893031834,3.535406645
Elliott,KY,6.419819136,14.13835003,2.175285633,1.271630716,1.51198423,11.79322454,0.531570228,1.011977116,0.925529617,0.388435058,0.318120866,0.126177927,0.24322657,0.575406294,0.245780819,1.206874758,0.299714713,0.158490618,0.791449232,0.465410449,0.540423959,0.582699981,0.511836063,0.609571672,0.642373354,0.66411686,0.374819128,0.190186222,0.427350568,0.173086583,0.363291474,0.344677287
Estill,KY,3.017707107,6.718168538,1.450374773,1.201169332,1.255256152,12.32120525,1.249183779,1.243528269,1.414111481,1.174360266,1.281766894,1.118242868,1.28662648,1.347233462,1.316983103,2.433471308,1.416997858,1.304803937,1.749344099,1.078859697,1.058523984,1.326826626,1.17663875,1.454444603,1.268380844,1.231134927,1.019129964,0.937548325,1.197437146,0.697573146,0.772390306,1.164679829
Floyd,KY,8.390042403,8.907577832,9.185803027,10.29342056,12.07827276,12.72398646,11.64182153,11.64940844,9.930564242,9.836624118,10.25365001,9.835961194,8.553364256,9.316974337,7.388640292,11.32919906,5.786030732,3.565684908,4.702364802,2.444747742,4.177218984,6.31181591,5.655922077,11.28346669,13.56439774,12.62002092,10.86615438,9.577334498,11.5762317,7.811967576,7.158462945,6.029724561
Greenup,KY,6.646848354,3.33172776,4.075789225,5.05306921,9.586614446,34.33122759,5.160215669,4.685202974,5.452648778,5.895577257,2.93869909,1.556350281,1.677650385,1.671563091,3.270120154,3.910978023,2.962950554,1.435607275,1.829025738,1.217022788,1.515225562,2.085555942,1.956141752,2.384730349,1.624696637,1.594518861,1.146545137,0.926479467,1.129774271,0.696930444,0.767848594,0.824294434
Harlan,KY,6.719284451,96.9981489,5.111402574,6.336104838,8.086550283,17.16315659,4.663652992,3.567423529,4.238963291,4.284943571,4.568473145,4.74287536,4.924831921,5.026674243,7.779273002,7.099504446,7.58162763,6.97727668,10.47478025,4.792077692,9.373034186,12.05812645,11.23050092,14.29745892,14.34165397,13.79404649,12.59926092,12.54218975,13.06627251,10.62951395,9.921738955,8.441719444
Jackson,KY,6.802125744,8.040593758,3.139550826,1.888945966,2.430649817,17.39324952,1.232651357,1.730616279,1.548518349,0.555078181,0.719835495,0.549984911,0.33730318,0.489558817,0.504815375,1.488020849,0.67166923,0.580102027,0.992425154,0.451966675,0.689460093,1.562763842,1.510528091,1.477753497,2.004147307,1.009103152,0.743281043,0.436208447,0.464685625,0.811837536,0.483221006,0.377015974
Johnson,KY,6.317532366,3.302111214,1.883650945,1.881695422,2.381522702,2.702660144,1.446714082,1.619076135,1.511602285,1.574373887,1.646143047,1.064123133,0.93290164,0.986259508,1.053059537,2.576355504,1.791137805,1.893898049,3.195595247,1.713381334,2.384789587,3.039734834,2.548453987,2.922043225,3.493455692,3.983792117,3.706489882,3.376476497,3.683999631,2.6744582,2.593267589,2.383931147
Knott,KY,15.31979693,15.58777235,13.62416914,15.52720443,17.14811001,16.31703185,15.03107529,14.77634759,15.85440281,17.45510697,19.73285425,20.12163293,21.45817774,23.976069,25.21936367,30.2750807,27.39245234,25.87378254,34.10231796,23.81812785,24.62279362,31.28819524,22.72597015,34.68057324,31.82593079,19.5739598,21.32488679,15.21920746,16.98295694,10.38240648,10.06828926,10.01848226
Knox,KY,14.3907151,50.62179899,7.481109806,7.580224318,8.590351817,54.67189919,3.175614059,2.638865597,5.839766557,2.624276651,2.032262144,1.428101731,3.504678894,1.449522497,3.810841149,1.795518174,1.905384504,1.577362555,2.932967538,1.427695182,2.180593042,3.288705003,2.933962685,4.281511962,3.853913494,3.385692389,3.310630101,3.11020529,2.752401214,1.758763677,1.480948221,1.280494477
Laurel,KY,21.69330589,20.375485,7.980902824,6.458702754,8.787721371,38.43338888,3.482000001,3.261720564,4.011617444,2.516797596,3.386002741,3.597220412,2.838282174,2.801918757,3.451671568,6.287697998,4.038509305,3.580382858,4.793924801,2.339855697,2.501542454,5.300112536,4.086489879,7.34632232,5.422921063,2.975928559,2.841900996,2.616882634,2.30712853,2.23033667,1.973770877,1.891023531
Lawrence,KY,4.047613537,3.565072231,2.788064018,2.568956167,2.910233054,5.680806715,0.857049863,1.056169814,0.615052995,0.522998829,0.837727118,1.179860745,1.162444844,1.397445974,1.723012608,2.430281802,1.682562949,1.850684667,3.803860157,1.051926057,1.552429332,2.591595783,3.592660853,4.668877326,3.365783758,4.251993474,2.727789736,1.711578622,2.18783578,1.394901109,1.723131453,1.810442739
Lee,KY,4.799415686,127.2860345,2.954239899,1.676939577,2.48629093,32.07034199,1.609158189,1.575270082,4.08910369,1.371144703,1.902327986,1.155598005,1.156038579,1.271355125,1.021567194,2.142854427,1.401365421,0.860214618,1.23798339,0.994430312,0.854476221,1.062403417,0.799909937,1.191084198,1.00981678,0.769588826,0.508268089,0.463156023,0.48788683,0.487390462,0.294483772,0.355393564
Leslie,KY,14.17281793,98.90701966,7.781605661,7.370644713,8.664249465,38.52245826,6.48397521,6.373290656,9.526206097,6.541634575,6.631642711,6.479857699,7.914863224,9.496201672,14.18932159,14.34564866,12.25175217,9.102776063,15.22625281,8.673993018,10.58690718,13.78791839,12.22059203,15.90819831,16.57916381,13.92294727,15.63822928,14.84479515,15.89391582,13.24324211,8.960366153,7.813007118
Letcher,KY,14.05150784,12.01480358,10.75779661,10.9796653,12.33316172,12.83552883,13.37619657,12.52946719,11.67157135,11.67673984,13.63303306,12.2695243,11.07770546,12.47073867,14.36572029,19.58391447,20.36060463,19.23722734,21.09749451,13.38013064,14.92401739,22.36321421,16.79241213,27.11047836,20.73970816,15.18277804,14.45420905,12.33255513,12.37886022,8.778470287,8.598244686,8.44961648
Lewis,KY,5.292761064,2.45415426,0.726754472,0.578372732,4.614248744,63.80040427,2.149969865,0.520688905,1.731100416,0.917064686,0.534006873,0.421673405,0.560257041,0.935992132,0.644732152,5.840869709,1.395520357,0.827305589,0.908964232,1.006802544,0.582523418,0.738113077,0.736339508,0.747915438,0.932912703,0.593071881,0.83382665,0.719265769,0.900238548,0.5375248,0.467734346,0.416585268
Magoffin,KY,11.10838434,23.1911887,5.313828587,3.652811444,3.888396543,36.80829734,2.303669392,2.742744361,2.756020927,1.294956108,0.843038635,1.236663475,1.570843706,2.171816019,2.189661407,2.259803028,1.856005624,1.640839096,2.029331575,1.849572431,2.497097262,4.000705366,2.704412257,3.984058986,5.189050738,5.830578219,4.445608888,3.993191839,4.84058655,3.900903803,3.709250827,3.330058261
Martin,KY,28.25942674,24.78028207,24.15514536,22.90992121,25.86160548,26.39052321,17.86479015,19.32298442,15.74000047,16.69112884,17.95385349,16.90731084,16.90172596,20.46293835,21.64504324,35.79710691,25.35072944,21.66237981,25.45921093,13.58307993,17.55135702,21.13441802,14.7581712,16.5905957,15.61869359,12.15036774,11.19896665,9.925102805,10.71071055,4.620363226,3.780527695,2.898743031
McCreary,KY,6.047374245,5.101539553,3.040710153,2.937205247,2.451372813,2.627701897,1.582178912,1.678566764,1.245733735,1.382938843,1.365709757,1.218359526,0.86235659,0.896296286,0.915240013,1.008381178,1.245681055,0.887221827,1.863268133,1.252122959,1.177320903,1.728159006,1.518754046,2.132389994,1.79165655,1.673466132,1.278611169,1.253291492,2.11979413,0.803612522,0.80532295,0.886441878
Menifee,KY,2.417875067,32.56835201,0.808335223,0.561928031,0.688809274,14.71327361,0.659205525,1.064086882,2.979331508,0.8426447,0.697781069,0.523941823,0.661452039,0.77608287,1.042573654,1.270965966,0.616732632,0.713864769,1.076641456,0.803906772,0.778201443,0.947905586,0.773208299,0.830819613,1.028907727,0.858676968,0.72058621,0.614413419,0.651916996,0.703880791,0.622890128,0.579237652
Morgan,KY,13.75711069,32.82257798,5.416648541,2.702890811,2.992110668,55.83446292,1.644617393,1.830299323,10.02023348,1.556995876,1.503328995,1.032367879,1.424554926,1.729563535,1.4553712,2.692929495,1.078902051,1.310491047,1.429155833,0.90779898,1.111699785,1.659354815,1.636260687,1.977706082,2.187337671,2.193808921,1.948781733,1.62161149,2.857079994,1.535702687,1.281810807,1.255971087
Owsley,KY,6.51169668,67.00770779,4.794393232,4.358765923,5.169924757,20.29563111,3.252408479,2.615708362,2.365591196,0.973231698,1.082874818,1.25334965,1.146160896,1.740505287,1.015474263,1.638718242,0.569115023,0.414135042,0.808289731,0.389374415,0.492239671,0.756610418,0.831940729,1.109896683,1.172756724,1.003495385,0.494707706,0.545849299,0.728827841,0.472770588,0.309692487,0.270692892
Perry,KY,26.98862394,32.85019245,24.97298024,27.29680139,33.83626218,80.96859774,30.50596487,30.11677817,34.1405541,31.25085551,31.09593865,29.96524895,28.24130122,32.16378144,30.33569838,43.20000431,32.47330611,28.61000019,39.17540882,25.71797947,29.70568645,38.77201971,30.85789659,45.93598186,42.31862929,36.01853316,37.83639266,32.26519812,33.51538189,27.99755353,22.05912868,20.99323893
